Pais,GDP,Population,Promedio
United States,25439700.0,333288.0,12886494.0
China,17963171.0,1412175.0,9687673.0
Japan,4232174.0,125125.0,2178649.5
Germany,4082469.0,83798.0,2083133.5
India,3416646.0,1417173.0,2416909.5
United Kingdom,3089073.0,66971.0,1578022.0
France,2779092.0,67971.0,1423531.5
Russian Federation,2240422.0,144237.0,1192329.5
Canada,2137939.0,38930.0,1088434.5
Italy,2049737.0,58940.0,1054338.5
Brazil,1920096.0,215313.0,1067704.5
Australia,1692957.0,26006.0,859481.5
"Korea, Rep.",1673916.0,51628.0,862772.0
Mexico,1465854.0,127504.0,796679.0
Spain,1417800.0,47778.0,732789.0
Indonesia,1319100.0,275501.0,797300.5
Saudi Arabia,1108572.0,36409.0,572490.5
Netherlands,1009399.0,17701.0,513550.0
Türkiye,907118.0,84980.0,496049.0
Switzerland,818427.0,8776.0,413601.5
Poland,688125.0,36822.0,362473.5
Cuba,633442.0,11212.0,322327.0
Argentina,631133.0,46235.0,338684.0
Sweden,591189.0,10487.0,300838.0
Belgium,583436.0,11686.0,297561.0
Norway,579422.0,5457.0,292439.5
Ireland,533140.0,5127.0,269133.5
Israel,525002.0,9558.0,267280.0
United Arab Emirates,507064.0,9441.0,258252.5
Thailand,495423.0,71697.0,283560.0
"Egypt, Arab Rep.",476748.0,110990.0,293869.0
Nigeria,472625.0,218541.0,345583.0
Austria,470942.0,9042.0,239992.0
Singapore,466788.0,5637.0,236212.5
Bangladesh,460201.0,171186.0,315693.5
"Iran, Islamic Rep.",413493.0,88551.0,251022.0
Viet Nam,408802.0,98187.0,253494.5
Malaysia,407027.0,33938.0,220482.5
South Africa,405271.0,59894.0,232582.5
Philippines,404284.0,115559.0,259921.5
Denmark,400167.0,5903.0,203035.0
Pakistan,374697.0,235825.0,305261.0
"Hong Kong SAR, China",359839.0,7346.0,183592.5
Colombia,343622.0,51874.0,197748.0
Chile,301025.0,19604.0,160314.5
Romania,300691.0,19047.0,159869.0
Czech Republic,290528.0,10672.0,150600.0
Finland,282896.0,5556.0,144226.0
Iraq,264182.0,44496.0,154339.0
Portugal,255197.0,10410.0,132803.5
New Zealand,248102.0,5124.0,126613.0
Peru,242632.0,34050.0,138341.0
Qatar,236258.0,2695.0,119476.5
Kazakhstan,225496.0,19622.0,122559.0
Greece,217581.0,10427.0,114004.0
Algeria,194998.0,44903.0,119950.5
Hungary,177337.0,9643.0,93490.0
Kuwait,175363.0,4269.0,89816.0
Ukraine,160503.0,38000.0,99251.5
Morocco,130913.0,37458.0,84185.5
Ethiopia,126783.0,123380.0,125081.5
Slovak Republic,115462.0,5432.0,60447.0
Ecuador,115049.0,18001.0,66525.0
Oman,114667.0,4576.0,59621.5
Dominican Republic,113537.0,11229.0,62383.0
Puerto Rico,113435.0,3222.0,58328.5
Kenya,113420.0,54027.0,83723.5
Angola,106783.0,35589.0,71186.0
Guatemala,95003.0,17358.0,56180.5
Bulgaria,90346.0,6465.0,48405.5
Luxembourg,81642.0,653.0,41147.5
Uzbekistan,80392.0,35648.0,58020.0
Azerbaijan,78721.0,10142.0,44431.5
Panama,76523.0,4409.0,40466.0
Tanzania,75732.0,65498.0,70615.0
Sri Lanka,74404.0,22181.0,48292.5
Ghana,73766.0,33476.0,53621.0
Belarus,72793.0,9228.0,41010.5
Croatia,71600.0,3856.0,37728.0
Uruguay,71177.0,3423.0,37300.0
Lithuania,70974.0,2832.0,36903.0
Côte d'Ivoire,70019.0,28161.0,49090.0
Costa Rica,69244.0,5181.0,37212.5
"Congo, Dem. Rep.",64719.0,99010.0,81864.5
Serbia,63563.0,6664.0,35113.5
Myanmar,62263.0,54179.0,58221.0
Slovenia,60063.0,2112.0,31087.5
Turkmenistan,56543.0,6431.0,31487.0
Sudan,51662.0,46874.0,49268.0
Jordan,48653.0,11286.0,29969.5
Tunisia,46304.0,12356.0,29330.0
Libya,45752.0,6812.0,26282.0
Uganda,45567.0,47250.0,46408.5
Bahrain,44383.0,1472.0,22927.5
Bolivia,44008.0,12224.0,28116.0
Cameroon,43644.0,27915.0,35779.5
Paraguay,41722.0,6781.0,24251.5
Latvia,40932.0,1879.0,21405.5
Nepal,40828.0,30548.0,35688.0
Estonia,38101.0,1349.0,19725.0
El Salvador,32489.0,6336.0,19412.5
Honduras,31718.0,10433.0,21075.5
Papua New Guinea,31604.0,10143.0,20873.5
Trinidad and Tobago,30054.0,1531.0,15792.5
Cambodia,29505.0,16768.0,23136.5
Cyprus,29251.0,1251.0,15251.0
